ACSN,W15LH,W1LH,W15RH,W1RH,WCT4,WCT10,WSAFLH,WSAFRH,FIF6,AIF9,AIF12,AIF51,HS1LLH,HS1ULH,HS1LRH,HS1URH,VS2LH,AF1LH,NAC6LH,NAC4LH,NAC6RH,NAC4RH,AF1RH,VS2RH,MLG1,MLG2,MLG3
B1B860121,23838.0,12558.0,23838.0,12558.0,96975.23439099285,40271.91216216216,105767.0,105771.0,35656.33994334278,179114.83333333334,162558.0,166243.98078401232,156902.0,156902.0,157699.0,157699.0,162558.0,162558.0,161847.62616822432,150400.88461538462,161847.62616822432,150400.88461538462,162558.0,162558.0,,,
B1B860122,20398.0,8026.0,20400.0,8026.0,80263.09314227226,36185.37162162162,96823.0,96824.0,24184.594900849857,133071.75,158026.0,161609.2182936203,155959.0,109436.0,158253.0,98489.0,158026.0,158026.0,123145.0342679128,146207.81623931625,123145.0342679128,146207.81623931625,158026.0,158026.0,,,
B1B860123,19393.0,9985.0,19447.0,9985.0,89887.8792221085,41190.2027027027,96594.0,96594.0,26087.804532577902,157035.92592592593,159985.0,163612.63835511147,156852.0,139155.0,154931.0,137311.0,159985.0,159985.0,141670.2679127726,148020.30982905984,141670.2679127726,148020.30982905984,159985.0,159985.0,,,
B1B860124,21046.0,9249.0,21083.0,9249.0,79142.7144319345,36206.04054054054,95799.0,95799.0,25215.7507082153,134937.1851851852,159249.0,162859.94965411222,154911.0,120947.0,159866.0,80654.0,159249.0,159249.0,120376.73520249223,147339.35256410256,120376.73520249223,147339.35256410256,159249.0,159249.0,,,
B1B860125,22869.0,10667.0,22869.0,10667.0,80998.14534288639,37455.03378378378,97609.0,97609.0,24315.26628895184,136805.92592592593,160667.0,164310.10261337433,158834.0,102439.0,156760.0,106897.0,160667.0,160667.0,126330.44236760127,148651.30555555556,126330.44236760127,148651.30555555556,160667.0,160667.0,,,
B1B860126,21706.0,8692.0,21707.0,8692.0,81009.3142272262,36423.06418918919,96363.0,96369.0,20137.609065155808,132372.07407407407,158115.0,161700.23635664873,158913.0,110658.0,156243.0,103065.0,158115.0,158115.0,106432.71028037384,146290.16025641025,106432.71028037384,146290.16025641025,158115.0,158115.0,,,
B1B860127,21984.0,12504.0,21985.0,12504.0,81953.08495394063,42105.54054054054,97003.0,97003.0,26828.640226628893,136068.78703703705,162504.0,166188.75634127596,158659.0,88580.0,158762.0,97654.0,162504.0,162504.0,132640.6728971963,150350.9230769231,132640.6728971963,150350.9230769231,162504.0,162504.0,,,
B1B860128,22300.0,7049.0,0.0,3239.0,92426.70624360288,36848.25337837838,99620.0,99620.0,30621.937677053826,157394.02777777778,153239.0,156713.67371252883,153814.0,25951.0,153329.0,153329.0,153239.0,153239.0,154379.277258567,141778.81837606838,0.0,0.0,153239.0,153239.0,,,
B1B860129,24107.0,10325.0,24124.0,10325.0,96536.15762538383,39885.10810810811,105441.0,105441.0,31298.804532577902,176654.39814814815,160325.0,163960.34780937742,160698.0,10698.0,161722.0,143374.0,160325.0,160325.0,156746.7788161994,148334.8824786325,156746.7788161994,148334.8824786325,160325.0,160325.0,,,
B1B860130,22593.0,9414.0,22593.0,9414.0,90238.30296827022,39115.92905405405,100416.0,100416.0,28428.40793201133,157680.50925925927,157160.0,160723.58186010763,0.0,0.0,0.0,0.0,157160.0,157160.0,146948.21183800625,145406.58119658122,146948.21183800625,145406.58119658122,157160.0,157160.0,,,
B1B860131,22098.0,7910.0,22098.0,7910.0,89029.96929375641,36009.68581081081,97560.0,97560.0,30987.161473087817,157428.1851851852,153972.0,157463.2943889316,153443.0,153443.0,154329.0,154329.0,153972.0,153972.0,0.0,0.0,0.0,0.0,153972.0,153972.0,,,
B1B860132,20687.0,9003.0,20699.0,9003.0,89336.4155578301,40531.75,92137.0,92137.0,26744.441926345607,155473.5,159003.0,162608.37163720216,159588.0,89590.0,159878.0,134972.0,159003.0,159003.0,134365.0342679128,147111.75,134365.0342679128,147111.75,159003.0,159003.0,,,
B1B860133,20199.0,9954.0,20212.0,9954.0,90817.68884339817,42694.60472972973,101500.0,101500.0,25328.926345609063,157472.25925925927,159954.0,163580.93543428133,159757.0,118271.0,158566.0,115154.0,159954.0,159954.0,128809.79439252338,147991.62820512822,128809.79439252338,145781.29273504275,159954.0,159954.0,,,
B1B860134,20735.0,10391.0,20739.0,10391.0,99151.77072671444,42718.22635135135,102757.0,102757.0,31300.99150141643,176727.12037037036,160391.0,164027.84435049962,162559.0,160534.0,158247.0,145663.0,160391.0,160391.0,150282.75389408102,148395.9465811966,150282.75389408102,148395.9465811966,160391.0,160391.0,,,
B1B860135,22205.0,10578.0,22206.0,10578.0,78712.01432958036,37354.64189189189,95527.0,95527.0,24821.002832861188,133928.99074074073,160578.0,164219.0845503459,154929.0,112552.0,160154.0,73914.0,160578.0,160578.0,121131.72585669783,148568.96153846153,121131.72585669783,148568.96153846153,160578.0,160578.0,,,
B1B860136,20043.0,7892.0,20073.0,7892.0,78980.06755373593,35656.83783783784,94724.0,94724.0,21845.631728045326,131028.91666666667,157892.0,161472.1798616449,161233.0,83019.0,157896.0,97185.0,157892.0,157892.0,119617.08411214955,146083.83760683762,119614.753894081,146083.83760683762,157892.0,157892.0,,,
B1B860137,21722.0,11633.0,21746.0,11633.0,99181.08904810646,43496.26351351351,106468.0,106470.0,37291.09915014164,178095.62037037036,161633.0,165298.00653343584,158586.0,151096.0,160682.0,149239.0,161633.0,161633.0,151252.1246105919,149545.06196581197,151252.1246105919,149545.06196581197,161633.0,161633.0,,,
B1B860138,22602.0,10909.0,22621.0,10909.0,101348.55066530195,43540.55405405405,102734.0,102734.0,35395.54390934844,177297.87962962964,160909.0,164557.58993082246,159176.0,159176.0,160456.0,157555.0,160909.0,160909.0,168113.58255451714,148875.20726495728,168113.58255451714,148875.20726495728,160909.0,160909.0,,,
B1B860139,22894.0,11324.0,22897.0,11324.0,103833.62743091096,44520.85135135135,105322.0,105322.0,31528.436260623228,177755.14814814815,161324.0,164982.0,157655.0,157655.0,159320.0,159320.0,161324.0,161324.0,157222.14330218072,149259.17094017094,157219.81308411216,149259.17094017094,161324.0,161324.0,,,
B1B860140,21643.0,10479.0,21644.0,10479.0,79491.04401228251,36814.29729729729,99443.0,99443.0,26228.86402266289,134620.9537037037,160479.0,164117.8397386626,160586.0,78830.0,163353.0,85747.0,160479.0,160479.0,120977.93146417447,148477.3653846154,120977.93146417447,148477.3653846154,160479.0,160479.0,,,
